,ug_review,Оценка,Категория,Запрещенные слова
128,Отличное качество музыки,2.0,,
129,"Задумка отличная, но игра очень короткая.",2.0,,
130,"Половина отзывов от нервных и неадекватных людей, всё работает.",2.0,,
131,"Половина отзывов от нервных и неадекватных людей, всё работает. Вадим.",2.0,0.0,
132,"Приложение отличное, супер, но хотелось бы чтобы плейлисты можно было с телефона сделать, а не на компьютере",2.0,0.0,
133,"Приложение отличное, супер, но хотелось бы чтобы плейлисты можно было с телефона создавать список видео, а не на компьютере",2.0,0.0,
134,"Не запускается, требует обновить.",0.0,,
135,Первое впечатление прям отдуши! Далее посмотрим,2.0,,
136,Приложение не открывается уже несколько дней. Нажимаю на иконку и сразу вылетает.,0.0,,
137,Толлько бы не улучшали. Всё работает.,2.0,,
138,Приложение не российское. Много индусов и других. Порно спокойно выкладывают. Решайте сами - нужно оно Вам😂,1.0,0.0,
139,"Почему в РуСторе 9 марта вышла версия 3.135, а в ПлейМаркете только от 1 марта версия 3.134?",1.0,,
140,Очень не хватает возможности переименовать накопительные счета,1.0,0.0,
141,При проблеме с доставкой пытаешься дозвониться на горячую линию. Но после автоответчика невозможно дозвониться.,0.0,,
142,Добавьте обновление и здесь.,0.0,,
143,"После обновления не видит контакты, соответственно не возможен перевод номера по телефону из контактов! Доступ у приложения к контактам есть!",2.0,,
144,"Приложение неплохое, нужно только дорабатывать функционал. Не хватает сохранения истории просмотров. При листании страниц немного подтормаживает (Redmi7). В идеале лучше сделать читалку разных форматов, не только PDF, но и например FB2 и прочих.",2.0,0.0,
145,"Бесполезное, работает только со статисными qr, на qr коды с банковских терминалов  выдаёт ошибку ""данный qr код не является кодом СБП"", хотя приложения банков без проблем проводят оплату с того же qr",0.0,,
146,"Шляпа, а не приложение. Заходит через раз",0.0,,
147,Что за бред вы с авторзацией придумали? Почему постоянно я должен ее проходить?,0.0,,
148,"Приложение слабое, уступает ВТБ, МКБ и Почта Банку. Сделайте хотя бы так, что бы на первой странице рядом с продуктом стоял процент, действующий на день входа в приложение. А то не видно открыт счёт, а под какой процент не ясно. Спасибо",0.0,,
149,"Последнее обновление, с показом сверху всех средств на счетах не понравилось. Сделайте функцию скрывать все средства и отдельные счета в раздельные кнопки",0.0,,
150,После последнегообнов,1.0,,
151,После последнегообнов,1.0,,
152,Часа 3 уже пишет ошибка,0.0,,
153,"В Китае не работает! Зарплатная карта! Нормально?! Не открывается, как и интернет версия! Ни с ВПН, ни без оного! Даже не знаю, что сказать, возмущению нет предела!          Исправили. Изменяю звёзды.) Спасибо.",0.0,,
154,Дно!,0.0,,
155,"Показывает не поместному времени а по московскому,не настраивается на местное время",0.0,,
156,Ура ура ура ура ура ура ура ура ура ура ура ура ура ура спасибо и более,2.0,,
157,Нет темной темы,0.0,,
158,"С нагрузкой справляется плохо, просмотр топ видео от блогера (Юра прдоляка) с завидной переодичеостью зависает. Привязку устройств можно делать только с веб версией сайта. Рутупу до тытупа ещё далеко.",0.0,,
159,"Очень туго работает программа, зависает вкладка главное, не баланс посмотреть, ничего, просто чёрный экран.",0.0,,
160,"На удивление, программу доработали и вылизали как у кота шарики. Удобство оплаты коммуналки выше всяких похвал, или по адресу, или куэр код. Переводы денег, сбп, легко. Работает программа быстро, возможности огромные.",0.0,,
161,Просто вылетает,0.0,,
162,Отличный браузер с голосовым помощником. Все устраивает,2.0,,
163,Верните вход по отпечатку,0.0,,
164,"Обновила, и все равно не работает.",0.0,,
165,После обновления пропал брокерский счёт. Теперь не могу туда денег забросить пишет нет данных,0.0,,
166,Давно не заходил в это приложение и вот решил проверить сколько накопилось. Как оказалось эти черти из спёрбанк с 1 сентября мне нихрена ничего не начисляют за мои покупки. Нет ни какой совести у этих говнюков!,0.0,,
167,Как совершать покупки? Отпишитесь кто нибудь.,0.0,,
168,Отличное предложение))),2.0,,
169,При установке требует гугл плай,0.0,,
170,Отлично,2.0,,
171,Нет оплаты через СБП.,0.0,,
172,Жаль воспроизведение прекращается если нажимаешь назад или на стрелку свернуть. Я ждал что оно свернётся в полосу но продолжить воспроизведение. Так же не хватает сохранения места окончания просмотра.,0.0,,
173,Аббас аббасов,1.0,,
174,Аббас Аббасов,1.0,,
175,Не работает,0.0,,
176,"""Text-to-speech"" не работает .Пишет программа.,Какие действия дальше?",0.0,,
177,Почему-то не можем добавить карту и подтвердить ее через приложение родителя.очень жаль!!(((,0.0,,
178,"Не запускается , вылетает",0.0,,
179,Совсем не открывается. Незнай как быть? всё перепробовал.,0.0,,
180,Обновление не доступно,0.0,,
181,Приложение не открывается,0.0,,
182,"Все личные документы куда-то пропали, услуга заказ справок не открывается,  раздел семья дети пуст. В онлайн версии все работает, все есть.",0.0,,
183,"После перехода на новую версию периодически сбрасывается авторизация в ноль. При входе по отпечатку или по коду принимает данные и зависает на синем экране. После если завершить приложения, требует авторизоваться с вводом логина и пароля и тп.",0.0,,
184,Даже оценку не за что ставить. Просто прекратило работать. В топку,0.0,,
185,Верните нормальную поддержку с чатом. Ассистент только отнимает время.,0.0,,
186,"Приложение бесполезное, как и вся акция ""привет мир"". Кэшбэк только за всякую ерунду, на ежедневные и частые покупки кэшбека нет и не будет.",0.0,,
187,"Приложение бесполезное, как и вся программа лояльности ""мир"". Кэшбэк только за всякую ерунду, на ежедневные и частые покупки кэшбека нет и не будет.",0.0,,
188,"Приложение не работает, что случилось невозможно войти, отпечаток не воспринимает, почту и госуслуги также как войти????",0.0,,
189,"В приложении постоянно появляются новые ""фишки"" нынешнего времени: варианты оплаты и доставки, акции и другое. Радует скорость и стабильность работы приложения. Так держать!",2.0,,
190,Вы лучшие майл ру спасибо,2.0,,
191,Хорошее приложение,2.0,,
192,Хорошее приложение,2.0,,
193,"Это эпик фэйл. Не кликабельна кнопка ""Войти"". Исправить - дело 5 минут, но что уж тут говорить, если они выкатили приложение без теста",0.0,,
194,Хороший магазин. Воспитанные менеджеры.,2.0,,
195,"Приложение не работает. На Хонор 9а установилось, но не открывается",0.0,,
196,"Я оплатил Premium доступ, получил ссылку, по которой не возможно скачать - ""Превышено время ожидания ответа..."" Верните деньги или дайте скачать приложение ",0.0,,
197,Одна реклама.,0.0,,
198,После ввода данных для входа в личный кабинет зависает на экране загрузки... Зайти не удаётся. Переустановка приложения не помогла.,0.0,,
199,После последнего обновления вылетает через раз.,0.0,,
200,Ну и как теперь оплачивать счета????,0.0,,
201,Отличное приложение все нужное есть!,2.0,,
202,Крутое и очень полезное приложение с красивым интерфейсом и анимациями,2.0,,
203,"Пока так. Надеюсь отдадут, но видимо не хотят...",0.0,,
204,"Пакет подписан другой подписью, нежели сборка в Google Play - потому обновление отсюда конфликтует с установленной из Google Play версией",0.0,,
205,С обновлением дизайна стало неимоверно круто. Теперь действительно не стыдно сравнивать с Яндекс музыкой .  Рекомендации тоже довольно хорошие.,2.0,,
206,Обновил телефон до 13 Android. Переслал работать. Если слышите разработчики исправляйте.,0.0,,
207,Обновил телефон до 13 Android. Приложение перестало работать. Если слышите разработчики исправляйте.,0.0,,
208,"Меня определил верно. Семья находится рядом, а определяется вообще в местах где не были. С чем связаны положительные отзывы?",0.0,,
209,Постоянно вылетает. Пользоваться не возможно.,0.0,,
210,"Не могу указать номер карты лояльности, пробую уже на протяжении 5ти предыдущих дней, результат нулевой",0.0,,
211,За что плачу за подписку. Рекламы  не было две недели назад. Сейчас включаешь канал пока не посмотришь рекламу канал не включиться. Это ужасно. Если не вернёте  обратно как было. Это моя последняя подписка. Ухожу к другому провайдеру.,0.0,,
212,Вопрос делаю справку судимости зачем мне делать фото паспорта у вас же есть всё где логика непонятно,0.0,,
213,"Магазин хороший, но приложение перегружено внутренней рекламой.",0.0,,
214,Супер лудшие приложения спасибо за него,2.0,,
215,Молодцы,2.0,,
216,Здравствуйте. Сегодня не работает аудио передачи Полный контакт. Пытаюсь прослушать нажимаю в ответ тишина не грузится. Вообще кто-нибудь этим занимается?,0.0,,
217,"Ставлю 5 звезд потому что играю давно, хотелось бы с гугл плея перенести прогресс, но не знаю как",1.0,0.0,
218,"Игра отличная, нравится одна из лучших. Задания все реальные, всё можно выполнить, хорошее соседство залог успешных стартов. Один минус редковато очень реклама",2.0,0.0,
219,Прекрасная игра ! Всё круто и качествено . И в русторе хрошие и удобные игры и приложения,2.0,0.0,
220,"Не могу установить обновление, пишет не достаточно места,у меня свободно почти 2 гб.на телефоне.",0.0,,
221,"Приложение не открывает свои сохранённые на главном экране ссылки. Пишет, что не найден браузер. При этом ссылки сохранённые из Яндекс браузера открываются Яндекс браузером без проблем.",0.0,,
222,"И паспорт есть и андроид 13, а загранпаспорт не сканируется",0.0,,
223,"Скачала приложение,  оно не открывается,  пишет сбой((((",0.0,,
224,3 возврата 2 товара пришли не те.стать продавцом азона плёвое дело.поддержку долго ждёшь а это очём  говорит? Много людей обращаются! Ну и сколько вам звёзд дать?,0.0,,
225,Really good application. Love to use this application. Easy and fun to use,2.0,,
226,Really good application. Love to use this application. Easy and fun to use,2.0,,
227,"Специально завел себе карту платить коммунальные услуги половину заплатить не могу коды не сканирует. Даже не знаю закрыть что-ли. Ещё попробую, нет откажусь.",0.0,,
228,Пропал вход по отпечатку.,0.0,,
229,👍,2.0,,
230,Отличное приложение👍,2.0,,
231,"Приложение и сайт банка не работают. Заходит через раз, когда надо фиг зайдешь..",0.0,,
232,"НЕВОЗМОЖНО ОБНОВИТЬ приложение. Сбербанк вроде серьёзная организация, а тут такое... Деньги где? По карманам распихали уже? Жаль, нельзя поставить -5",0.0,,
233,"Было бы отлично если разработчик добавил бы VPN Турции, очень актуальный метод для смены региона",1.0,0.0,
234,Здравствуйте! У меня 1 вопрос а как получить TV коины,1.0,,
235,Nice) Добавьте темную тему!,2.0,,
236,"Хорошая игра, но в последнее время ориентированна на донат.",2.0,0.0,
237,"Спасибо большое за предоставляемые услуги, оперативное решение возникающих вопросов, и всего Вам доброго в Новом году!",2.0,,
238,Почему нет версии приложения?,1.0,,
239,"Ужасное приложение, постоянно нет нет да зависает на стартовом экране, может два дня работать , а потом зависнуть , соответственно и оплата не проходит, телефон реалми gt neo3",0.0,,
240,"Не работает приложение, требует приложение Google",0.0,,
241,Повторяю недоработки: на планшете lenovo tab 2 a10-30 со снапдрагон 210 и любой прошивкой Рутуб показывает видео с микрофризами. Второе - постоянно на root жалуется,0.0,,
242,"Не увидел личного кабинета для сохранения фильмов,передач и тв.Надеюсь скоро это увидеть.Спасибо.",0.0,,
243,Не работают звонки!!! Исправьте уже,0.0,,
244,Программа давно заброшена,0.0,,
245,Не работает.не запускается.,0.0,,
246,Зачем нам эти обновления если ПО их не поддерживает. Старое нас вполне устраивало. Верните нам его.,0.0,,
247,не работает на samsung a32 4G,0.0,,
248,Не отправляются скриншоты! Уже давно! В чате! Андройд 13 самсунг нот 20 ультра,0.0,,
249,"Не обновляется!!! Файл скачивается, начинается процесс установки и в итоге пишет Не установлено.",0.0,,
250,Обновления медленно загружаются.,0.0,,
251,"Приложение не работает, задолженность не показывает. Жкх кредитка не оплачивает. Хоть и все обновлено.",0.0,,
252,Накладно. Убедился что очень дорого.,0.0,,
253,Накладно. Убедился что очень дорого через домклик.,0.0,,
254,"Повторяю  это приложение полный отстой, оно непригодно не для чего все оплаты донат на игры проходят токо через гугл плей, ваша прога полная Х@НЯ!, какая проблема? Вы читали вообще? Я немогу сделать донат в игре , выдает што гугл плей отключен",0.0,,
255,Уже третий месяц одна и таже цифра к оплате! Охринеть!!!,0.0,,
256,Ставлю 1 звезду! Интернет отсутвует вообще!,0.0,,
257,Решил отказаться от данного клиента из-за невозможности почистить кэш и постоянного разбухания клиента,0.0,,
258,Верните обратно в Play Market.,0.0,,
259,Супер предложение можно хорошую  оценку,2.0,,
260,"Приложение, скаченное через google play принимало логин и пароль. Приложение, скаченное через rustore, отказывается это делать. Процесс восстановления пароля тот еще квест. Пришло время переходить на Ростелеком.",1.0,,
261,Приложение классно мне очень нравится,2.0,,
262,"То полис не видит, то врачей. А если уж повезёт дойти до записи, то врача выбрать нельзя. Издевательство, короче. (",0.0,,
263,"Быстро, четко, все что надо!",2.0,,
264,После обновления просто ужас,0.0,,
265,"Я не знаю, кому там что не нравится, но приложение работает, приходят уведомления, получаю посылки, всё чётко и понятно работать.",0.0,,
266,"сделайте чтобы было конкретно видно, когда сгорят какие балы, а не 50 баллов сгорят 5 мая, а когда сгорят мои 4000 баллов? должны в марте, если 3 мес жизни, но не указано",0.0,,
267,"сделайте чтобы было конкретно видно, когда сгорят какие балы, а не 50 баллов сгорят 5 мая, а когда сгорят мои 4000 баллов? должны в марте, если 3 мес жизни, но не указано. И еще галочки для товаров в корзине, чтобы при заказе не удалять",0.0,,
268,"Постоянно присылает уведомление о  замене паспорта, который я поменял ещё 2 месяца назад....обращение в поддержку просто  закрыли😄",0.0,,
269,"Не устанавливаются обновления, уже несколько недель(",0.0,,
270,не работает как и у всех,0.0,,
271,Очень удобное приложение. Все в одном месте. Функция закладок и поиска вообще огонь 🔥,2.0,,
272,Очень удобное приложение. Все в одном месте. Функция закладок и поиска вообще огонь 🔥,2.0,,
273,Очень удобное приложение. Все в одном месте. Функция закладок и поиска вообще огонь 🔥,2.0,,
274,Очень удобное приложение. Все в одном месте. Функция закладок и поиска вообще огонь 🔥,2.0,,
275,❤️,2.0,,
276,❤️,2.0,,
277,❤️,2.0,,
278,❤️,2.0,,
279,❤️,2.0,,
280,❤️,2.0,,
281,❤️,2.0,,
282,❤️,2.0,,
283,❤️,2.0,,
284,❤️,2.0,,
285,❤️,2.0,,
286,❤️,2.0,,
287,❤️,2.0,,
288,❤️,2.0,,
289,❤️,2.0,,
290,❤️,2.0,,
291,❤️,2.0,,
292,❤️,2.0,,
293,❤️,2.0,,
294,❤️,2.0,,
295,❤️,2.0,,
296,Для того чтобы попасть на главную страницу виснет попасть можно только с переустановки приложения. Задолбался переустанавливать.,0.0,,
297,Я тоже не могу зарегестрироваться. Выдаёт ошибку.,0.0,,
298,"Удобное приложение, качественный интерфейс. Работает качественно, разработчики все продумали до мелочей, мне нравится 5 звезд.",2.0,,
